obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""367.6376""","=""0.0006""","=""367.63692""","=""0.00019""","=""1400""","=""1.3467e+03""",AAA,"=""82259.158""","=""[109452.1650]""","=""2""","=""""","=""""","=""22""","=""""","=""""",,"=""T8637""","=""L7436c29""",
"=""367.9370""","=""0.0006""","=""367.93589""","=""0.00019""","=""1700""","=""1.7005e+03""",AAA,"=""82259.158""","=""[109430.0696]""","=""2""","=""""","=""""","=""21""","=""""","=""""",,"=""T8637""","=""L7436c29""",
"=""368.2823""","=""0.0006""","=""368.28143""","=""0.00019""","=""1700""","=""2.1719e+03""",AAA,"=""82259.158""","=""[109404.5776]""","=""2""","=""""","=""""","=""20""","=""""","=""""",,"=""T8637""","=""L7436c29""",
"=""368.6831""","=""0.0006""","=""368.68376""","=""0.00019""","=""2000""","=""2.8093e+03""",AAA,"=""82259.158""","=""[109374.9555]""","=""2""","=""""","=""""","=""19""","=""""","=""""",,"=""T8637""","=""L7436c29""",
"=""369.1551""","=""0.0006""","=""369.15611""","=""0.00019""","=""2300""","=""3.6851e+03""",AAA,"=""82259.158""","=""[109340.2604]""","=""2""","=""""","=""""","=""18""","=""""","=""""",,"=""T8637""","=""L7436c29""",
"=""369.7157""","=""0.0006""","=""369.71581""","=""0.00019""","=""2300""","=""4.9101e+03""",AAA,"=""82259.158""","=""[109299.2642]""","=""2""","=""""","=""""","=""17""","=""""","=""""",,"=""T8637""","=""L7436c29""",
"=""370.3859""","=""0.0006""","=""370.38593""","=""0.00019""","=""2800""","=""6.6583e+03""",AAA,"=""82259.158""","=""[109250.3433]""","=""2""","=""""","=""""","=""16""","=""""","=""""",,"=""T8637""","=""L7436c29""",
"=""371.1978""","=""0.0006""","=""371.19774""","=""0.00019""","=""3300""","=""9.2102e+03""",AAA,"=""82259.158""","=""[109191.3154]""","=""2""","=""""","=""""","=""15""","=""""","=""""",,"=""T8637""","=""L7436c29""",
"=""372.1946""","=""0.0006""","=""372.19449""","=""0.00019""","=""5000""","=""1.3032e+04""",AAA,"=""82259.158""","=""[109119.1917]""","=""2""","=""""","=""""","=""14""","=""""","=""""",,"=""T8637""","=""L7436c29""",
"=""373.4369""","=""0.0006""","=""373.43746""","=""0.00020""","=""6000""","=""1.8927e+04""",AAA,"=""82259.158""","=""[109029.7913]""","=""2""","=""""","=""""","=""13""","=""""","=""""",,"=""T8637""","=""L7436c29""",
"=""""","=""""","=""375.0124905""","=""0.0000021""","=""""","=""4.8748e+05""",AAA,"=""82258.9191133""","=""108917.1203787""","=""2p""","=""2P*""","=""1/2""","=""12d""","=""2D""","=""3/2""",,"=""T7771""","=""""",
